EQPID,RECIPE,FLAG,LOT,PILOT
BPUVI61,1377M1PHOTO,6,1,
BPUVI61,1377M2PHOTO,6,1,
BPUVI61,1377M3MIMPHOTO,6,1,
BPUVI61,1377VIA2PHOTO,1,3,
BPUVI61,1377VIA2PHOTO,5,1,
BPUVI61,1377VIA3PHOTO,4,2,pilot
BPUVI61,3637VIA1PHOTO,3,1,
BPUVI61,4296P1PHOTO,5,0.125,pilot
BPUVI61,4327TV1PHOTO,1,0.125,
BPUVI61,4327TV1PHOTO,3,0.125,
BPUVI61,4640P1PHOTO,6,2,
BPUVI61,5884AAPHOTO,4,1,
BPUVI61,6479M1PHOTO,4,0.375,
BPUVI61,7275AAPHOTO,1,3,pilot
BPUVI61,7275AAPHOTO,2,8,pilot
BPUVI61,7344AAPHOTO,4,5,pilot
BPUVI61,7470M2PHOTO,5,1,
BPUVI61,7492AAPHOTO,5,2,pilot
BPUVI61,7492AAPHOTO,6,5,pilot
BPUVI61,7492M4PHOTO,4,1,
BPUVI61,7543CTPHOTO,5,1,pilot
BPUVI61,8141AAPHOTO,3,2,
BPUVI61,8389AAPHOTO,1,2,
BPUVI61,8393NPPHOTO1,3,0.375,
BPUVI61,8827NW2PHOTO1,4,0.375,
BPUVI91,6518CGPHOTO,3,0.5,pilot
BPUVI91,7531CGPHOTO,3,1,pilot
BPUVI91,7531CGPHOTO,4,2,pilot
BPUVI91,8998P1PHOTO,3,0.25,pilot
BPUVI91,IDLE,1,3,
BPUVI91,IDLE,2,7,
BPUVI91,IDLE,3,6,
BPUVI91,IDLE,4,5,
BPUVI91,IDLE,5,6,
BPUVI91,IDLE,6,7,
DPDI701,6445CTPHOTO,1,7,
DPDI701,6445CTPHOTO,6,6,
DPDI701,6445M1PHOTO,1,2,pilot
DPDI701,6445M2PHOTO,4,2,pilot
DPDI701,7275CTPHOTO,3,1,
DPDI701,7275CTPHOTO,4,2,
DPDI701,7275CTPHOTO,5,3,
DPDI701,7275M1PHOTO,1,1,pilot
DPDI701,7344CTPHOTO,3,2,
DPDI701,7344CTPHOTO,4,4,
DPDI701,8042CTPHOTO,2,8,
DPDI701,8042CTPHOTO,4,2,
DPDI701,8042CTPHOTO,5,1,
DPDI701,8042CTPHOTO,6,4,
DPDI702,5697M1PHOTO,2,1,pilot
DPDI702,5697M4PHOTO,4,1,
DPDI702,5697VIA1PHOTO,2,1,
DPDI702,5697VIA1PHOTO,3,2,
DPDI702,5958M1PHOTO,3,1,
DPDI702,5958M1PHOTO,5,1,
DPDI702,5958M1PHOTO,6,1,
DPDI702,6445M2MIMPHOTO,4,1,
DPDI702,6445M2MIMPHOTO,5,2,
DPDI702,6445M2MIMPHOTO,6,2,
DPDI702,6445M2PHOTO,5,1,
DPDI702,6445M3PHOTO,5,0.125,
DPDI702,6445M4PHOTO,1,2,
DPDI702,6445M4PHOTO,5,1,
DPDI702,6445VIA3PHOTO,2,1,
DPDI702,7017TV1PHOTO,5,1.125,
DPDI702,7295M5PHOTO,1,2,
DPDI702,7344M1PHOTO,3,4,
DPDI702,7344M1PHOTO,4,4,
DPDI702,7344VIA1PHOTO,1,0.125,
DPDI702,7344VIA1PHOTO,6,4,
DPDI702,7344VIA2PHOTO,1,2,
DPDI702,7344VIA2PHOTO,3,3,
DPDI702,7492VIA3PHOTO,1,3.125,pilot
DPDI702,8042VIA2PHOTO,3,1,pilot
DPDI804,5958M3PHOTO,4,1,
DPDI804,5958VIA2PHOTO,6,1,
DPDI804,6200M3PHOTO,4,3,pilot
DPDI804,6445M4PHOTO,3,1,
DPDI804,6445M4PHOTO,4,2,
DPDI804,7017PLDD2PHOTO,2,3,pilot
DPDI804,7017PLDD2PHOTO,5,2,pilot
DPDI804,7017PLDDPHOTO,2,1,pilot
DPDI804,7017PLDDPHOTO,3,1,pilot
DPDI804,7275M2PHOTO,6,4,
DPDI804,7275VIA2PHOTO,3,2,
DPDI804,7275VIA2PHOTO,5,0.125,
DPDI804,7295TV1PHOTO,1,1,
DPDI804,7295TV1PHOTO,3,1,
DPDI804,7344M1PHOTO,5,3,pilot
DPDI804,7344M2MIMPHOTO,2,5,
DPDI804,7344M2MIMPHOTO,5,2,
DPDI804,7344M2MIMPHOTO,6,1,
DPDI804,7344M3PHOTO,4,2,
DPDI804,7344M3PHOTO,6,1,
DPDI804,7344VIA2PHOTO,6,2,
DPDI804,8042VIA1PHOTO,1,4,pilot
DPDI804,8379VIA2PHOTO,1,1.5,pilot
