EQPID,RECIPE,FLAG,LOT,PILOT
BPUVI03,7275TV1-PHOTO,2,5,pilot
BPUVI03,7275TV1-PHOTO,3,4.625,
BPUVI03,7427VIA3-PHOTO,1,0.125,pilot
BPUVI03,7435M1-PHOTO,5,1,
BPUVI03,8042M2MIM-PHOTO,2,4,pilot
BPUVI03,8042M2MIM-PHOTO,3,2,
BPUVI03,8042M2MIM-PHOTO,5,3,
BPUVI03,8042M2MIM-PHOTO,6,3,
BPUVI03,8257VIA1-PHOTO,3,0.125,
BPUVI03,8257VIA1-PHOTO,4,0.5,
BPUVI03,8479M4MIM-PHOTO,5,0.125,pilot
BPUVI03,8479M4MIM-PHOTO,6,1,
BPUVI03,8761M4-PHOTO,3,0.125,
BPUVI03,8761M4-PHOTO,6,0.125,
BPUVI03,9036VIA2-PHOTO,3,0.5,
BPUVI03,,,43.625,5

BPUVI04,2131AA-PHOTO,3,2,
BPUVI04,3739VIA2-PHOTO,3,0.375,
BPUVI04,4087M1-PHOTO,5,1,
BPUVI04,4087M2-PHOTO,4,2,
BPUVI04,4785M2-PHOTO,2,1,
BPUVI04,5697VIA1-PHOTO,6,1,
BPUVI04,5998AA-PHOTO,3,1,
BPUVI04,5998AA-PHOTO,4,3,
BPUVI04,5999P4-PHOTO,1,4,
BPUVI04,5999P4-PHOTO,3,4,
BPUVI04,5999P4-PHOTO,5,2,
BPUVI04,6023AA-PHOTO,5,1,
BPUVI04,6023AA-PHOTO,6,3,
BPUVI04,6134M3-PHOTO,5,2,
BPUVI04,6134VIA2-PHOTO,1,1,
BPUVI04,6246P4-PHOTO,2,1,
BPUVI04,6329TOW-PHOTO,2,1,
BPUVI04,6529P4-PHOTO,3,1,
BPUVI04,6529P4-PHOTO,4,2,
BPUVI04,6529TOW-PHOTO,2,1,
BPUVI04,7275M3MIM-PHOTO,1,3.125,
BPUVI04,8035P4-PHOTO,1,1,
BPUVI04,8035P4-PHOTO,3,1,
BPUVI04,8383TOW-PHOTO,2,0.125,
BPUVI04,8383TOW-PHOTO,3,1,
BPUVI04,8383TOW-PHOTO,5,0.125,
BPUVI04,8479AA-PHOTO,6,1,pilot
BPUVI04,8479M3-PHOTO,2,1,
BPUVI04,8479M3-PHOTO,4,0.125,
BPUVI04,8479M3-PHOTO,5,0.125,
BPUVI04,8479M3-PHOTO,6,0.875,
BPUVI04,,,43.875,1

BPUVI05,2813M2-PHOTO,3,1,
BPUVI05,2813M3-PHOTO,6,1,
BPUVI05,4287M2-PHOTO,2,1,
BPUVI05,4287VIA3-PHOTO,2,2,
BPUVI05,4785VIA2-PHOTO,4,1,
BPUVI05,6023M3-PHOTO,4,1,
BPUVI05,6134VIA2-PHOTO,3,1,
BPUVI05,6134VIA3-PHOTO,1,1.125,
BPUVI05,6134VIA3-PHOTO,3,2,
BPUVI05,6134VIA3-PHOTO,4,1,
BPUVI05,6134VIA3-PHOTO,5,4.125,
BPUVI05,6136VIA1-PHOTO,3,0.125,
BPUVI05,6136VIA1-PHOTO,4,0.75,
BPUVI05,6510VIA2-PHOTO,4,1,
BPUVI05,6510VIA2-PHOTO,6,1,
BPUVI05,6555TV-PHOTO,1,0.125,
BPUVI05,6748M4-PHOTO,1,1,
BPUVI05,6748M4-PHOTO,5,1,
BPUVI05,6748TV-PHOTO,5,1,
BPUVI05,6748TV-PHOTO,6,1,
BPUVI05,7017TV1-PHOTO,3,1,
BPUVI05,7275TV1-PHOTO,1,2,
BPUVI05,7275TV1-PHOTO,4,2,
BPUVI05,7275TV1-PHOTO,6,2,
BPUVI05,7275VIA1-PHOTO,3,1,
BPUVI05,7275VIA1-PHOTO,4,2,
BPUVI05,7275VIA1-PHOTO,5,1,
BPUVI05,7275VIA1-PHOTO,6,2,
BPUVI05,7275VIA2-PHOTO,2,3,
BPUVI05,7275VIA2-PHOTO,3,2,
BPUVI05,8139M3-PHOTO,3,1,
BPUVI05,8139VIA3-PHOTO,1,1,
BPUVI05,8139VIA3-PHOTO,6,1,
BPUVI05,8479M1-PHOTO,1,1,
BPUVI05,,,45.25,0

BPUVI06,4139AA-PHOTO,4,1,
BPUVI06,5105VIA3-PHOTO,5,1.25,
BPUVI06,5671NP-PHOTO2,4,1,
BPUVI06,5958M1-PHOTO,4,1,
BPUVI06,6238P1-PHOTO,5,0.125,pilot
BPUVI06,6238P1-PHOTO,6,1,
BPUVI06,6246PLDD1-PHOTO,4,1,
BPUVI06,6246PLDD1-PHOTO,6,1,
BPUVI06,6445CT-PHOTO,2,1,
BPUVI06,6445CT-PHOTO,3,2,
BPUVI06,6445M1-PHOTO,5,6,
BPUVI06,6445M2MIM-PHOTO,2,1,
BPUVI06,6445M3-PHOTO,2,0.125,
BPUVI06,6518CSD-PHOTO,1,1,
BPUVI06,6529NP-PHOTO2,1,1,
BPUVI06,6529NP-PHOTO2,4,3,
BPUVI06,6529NP-PHOTO2,6,3,
BPUVI06,6529PLDD1-PHOTO,2,1,
BPUVI06,6529PLDD1-PHOTO,4,1,
BPUVI06,6529PLDD1-PHOTO,6,1,
BPUVI06,6529PP-PHOTO2,1,4,
BPUVI06,6529PP-PHOTO2,2,1,
BPUVI06,6529PP-PHOTO2,3,3,
BPUVI06,6529PP-PHOTO2,4,1,
BPUVI06,6529PP-PHOTO2,6,1,
BPUVI06,6569NLDD-PHOTO,5,1,
BPUVI06,7275M1-PHOTO,1,1,
BPUVI06,7275VIA1-PHOTO,1,2,
BPUVI06,7275VIA1-PHOTO,2,1,
BPUVI06,8723NP-PHOTO,2,0.125,
BPUVI06,8968AA-PHOTO,2,0.625,pilot
BPUVI06,8968AA-PHOTO,3,0.5,
BPUVI06,9005PP-PHOTO2,2,0.375,
BPUVI06,,,45.125,2

BPUVI07,1213AA-PHOTO,4,1,
BPUVI07,2022CT-PHOTO,3,1,
BPUVI07,2022CT-PHOTO,4,1,
BPUVI07,3984P1-PHOTO,1,2,
BPUVI07,4030HRP-PHOTO,2,1,
BPUVI07,4387M2-PHOTO,2,0.625,
BPUVI07,4692GPOLY-PHOTO,6,1,
BPUVI07,5105VIA3-PHOTO,3,0.125,
BPUVI07,5105VIA3-PHOTO,6,1.125,
BPUVI07,5974M1-PHOTO,1,0.375,
BPUVI07,5977GPOLY-PHOTO,3,1,
BPUVI07,6023M1-PHOTO,4,3,
BPUVI07,6134M3-PHOTO,1,4.25,
BPUVI07,6134VIA2-PHOTO,6,1,
BPUVI07,6529BNP-PHOTO,2,1,
BPUVI07,6555M1-PHOTO,1,0.125,
BPUVI07,6748M4-PHOTO,4,1,
BPUVI07,6959CT-PHOTO,2,0.125,
BPUVI07,6991AA-PHOTO,3,1.125,
BPUVI07,7002NP-PHOTO2,5,1,
BPUVI07,7243BNP-PHOTO,4,0.125,
BPUVI07,7243BNP-PHOTO,5,3,
BPUVI07,7338AA-PHOTO,3,1.125,
BPUVI07,7338AA-PHOTO,4,0.125,
BPUVI07,7531TIM-PHOTO,1,3.125,
BPUVI07,7531TIM-PHOTO,3,3,
BPUVI07,7698AA-PHOTO,4,0.25,
BPUVI07,7698AA-PHOTO,6,0.25,
BPUVI07,7698CT-PHOTO,2,0.125,
BPUVI07,8139M4MIM-PHOTO,2,1,
BPUVI07,8139M4MIM-PHOTO,6,1,
BPUVI07,8479M2-PHOTO,4,0.125,
BPUVI07,8479M2-PHOTO,5,4.125,
BPUVI07,8479M2-PHOTO,6,1,
BPUVI07,8976TIM-PHOTO,3,1.125,
BPUVI07,8976TIM-PHOTO,6,1,
BPUVI07,8998P1-PHOTO,3,0.25,
BPUVI07,,,43.625,0

BPUVI08,1717PLDD1-PHOTO,2,1,
BPUVI08,5331PP-PHOTO2,3,1,
BPUVI08,6243PLDD2-PHOTO,4,0.125,
BPUVI08,6529NP-PHOTO2,3,1,
BPUVI08,6529NP-PHOTO2,5,2,
BPUVI08,6529PP-PHOTO2,5,4,
BPUVI08,6569PLDD1-PHOTO,1,1,
BPUVI08,7017PLDD2-PHOTO,1,5,
BPUVI08,7017PLDD2-PHOTO,2,3,
BPUVI08,7017PLDD2-PHOTO,3,0.125,
BPUVI08,7017PLDD2-PHOTO,4,1,
BPUVI08,7017PLDD2-PHOTO,5,2,
BPUVI08,7017PLDD2-PHOTO,6,2,
BPUVI08,7107NLDD2-PHOTO,4,2,
BPUVI08,7107NLDD-PHOTO,2,1,
BPUVI08,7107NLDD-PHOTO,3,2,
BPUVI08,7107NLDD-PHOTO,4,3,
BPUVI08,7107NLDD-PHOTO,6,3,
BPUVI08,7107PLDD1-PHOTO,2,1,
BPUVI08,7107PLDD2-PHOTO,1,1,
BPUVI08,7107PLDD2-PHOTO,2,1,
BPUVI08,7107PLDD2-PHOTO,3,3,
BPUVI08,7107PLDD2-PHOTO,4,2,
BPUVI08,7107PLDD2-PHOTO,6,2,
BPUVI08,7531NP-PHOTO2,3,1,
BPUVI08,7531NP-PHOTO2,5,1,
BPUVI08,,,46.25,0

BPUVI09,0506P1-PHOTO,1,0.875,
BPUVI09,0506P1-PHOTO,2,2,
BPUVI09,0506P1-PHOTO,3,1,
BPUVI09,0506P1-PHOTO,6,1,
BPUVI09,4287VIA2-PHOTO,1,1,
BPUVI09,5401P1-PHOTO,1,1,
BPUVI09,5401P1-PHOTO,3,1,
BPUVI09,6134VIA3-PHOTO,6,0.125,
BPUVI09,6219P1-PHOTO,1,1,
BPUVI09,6219P1-PHOTO,2,1,
BPUVI09,6314AA-PHOTO,3,1,
BPUVI09,6314AA-PHOTO,4,2,
BPUVI09,6314AA-PHOTO,5,1,
BPUVI09,6445M1-PHOTO,4,2,
BPUVI09,6445TV1-PHOTO,4,2,
BPUVI09,6445VIA1-PHOTO,2,1,
BPUVI09,6445VIA1-PHOTO,5,1,
BPUVI09,6445VIA1-PHOTO,6,1,
BPUVI09,6518AA-PHOTO,6,3.125,
BPUVI09,6529CT-PHOTO,1,4,
BPUVI09,6529CT-PHOTO,2,4.25,
BPUVI09,6707CT-PHOTO,5,1,pilot
BPUVI09,7260GT-PHOTO,2,0.125,pilot
BPUVI09,7275M1-PHOTO,5,2,
BPUVI09,7275M2-PHOTO,6,4,
BPUVI09,7275M3-PHOTO,1,0.125,
BPUVI09,7275M3-PHOTO,2,0.125,
BPUVI09,7275M3-PHOTO,3,2.25,
BPUVI09,7895CT-PHOTO,4,0.25,
BPUVI09,7895CT-PHOTO,5,0.5,
BPUVI09,7895CT-PHOTO,6,0.25,
BPUVI09,8326M3-PHOTO,5,1,
BPUVI09,8479VIA2-PHOTO,2,1,
BPUVI09,,,45,2

BPUVI10,7344NLDD2-PHOTO,1,5,
BPUVI10,7344NLDD2-PHOTO,4,1,
BPUVI10,7344NLDD2-PHOTO,5,2,
BPUVI10,7344NLDD-PHOTO,5,5,
BPUVI10,7344NLDD-PHOTO,6,1,
BPUVI10,7344PLDD-PHOTO,1,1,
BPUVI10,7344PLDD-PHOTO,2,7,
BPUVI10,7344PLDD-PHOTO,3,8,
BPUVI10,7344PLDD-PHOTO,4,5,
BPUVI10,7344PLDD-PHOTO,5,2,
BPUVI10,8042NLDD2-PHOTO,1,0.125,
BPUVI10,8042NLDD-PHOTO,1,1,
BPUVI10,8042NLDD-PHOTO,6,4,
BPUVI10,8042PLDD-PHOTO,1,4,
BPUVI10,8042PLDD-PHOTO,2,3,
BPUVI10,8042PLDD-PHOTO,3,1.125,
BPUVI10,8042PLDD-PHOTO,4,4,
BPUVI10,8042PP-PHOTO2,2,0.125,
BPUVI10,,,54.375,0

BPUVI11,0773AA-PHOTO,6,2,pilot
BPUVI11,0989CT-PHOTO,1,2,
BPUVI11,0989CT-PHOTO,2,1,
BPUVI11,0989CT-PHOTO,3,2,
BPUVI11,0989CT-PHOTO,4,2,
BPUVI11,0989CT-PHOTO,5,1,
BPUVI11,1213CT-PHOTO,4,0.5,
BPUVI11,1213CT-PHOTO,5,0.5,
BPUVI11,2813VIA3-PHOTO,2,1,
BPUVI11,3872CT-PHOTO,4,1,
BPUVI11,4287VIA3-PHOTO,1,1,
BPUVI11,6023M1-PHOTO,1,2,
BPUVI11,6023M1-PHOTO,5,2,
BPUVI11,6023VIA1-PHOTO,1,1,
BPUVI11,6200CT-PHOTO,5,1,
BPUVI11,6200M2-PHOTO,4,0.5,
BPUVI11,6200M3-PHOTO,3,1,
BPUVI11,6200M3-PHOTO,4,3,
BPUVI11,6200M3-PHOTO,6,1,
BPUVI11,6569PLDD1-PHOTO,3,1,
BPUVI11,6748VIA3-PHOTO,1,2,
BPUVI11,6748VIA3-PHOTO,3,2,
BPUVI11,6877M1-PHOTO,6,0.125,pilot
BPUVI11,7435CT-PHOTO,6,1,
BPUVI11,8069CT-PHOTO,5,0.375,
BPUVI11,8139TV-PHOTO,5,1,
BPUVI11,8207NLDD2-PHOTO,4,1,
BPUVI11,8347CT-PHOTO,4,0.125,
BPUVI11,8347CT-PHOTO,5,0.125,
BPUVI11,8383AA-PHOTO,2,5.125,
BPUVI11,8383AA-PHOTO,5,2,
BPUVI11,8479VIA3-PHOTO,6,0.375,
BPUVI11,8716M1-PHOTO,6,1,pilot
BPUVI11,8723NP-PHOTO,3,0.25,
BPUVI11,8915AA-PHOTO,5,0.25,
BPUVI11,8915CT-PHOTO,2,0.125,
BPUVI11,9027NLDD-PHOTO,3,0.5,
BPUVI11,9027NLDD-PHOTO,6,0.5,
BPUVI11,,,44.375,3

BPUVI12,0506NLDD-PHOTO,6,0.25,
BPUVI12,0773NP-PHOTO,3,1,
BPUVI12,0773NP-PHOTO,6,2,
BPUVI12,0773PP-PHOTO,5,0.5,
BPUVI12,0989PLDD-PHOTO,1,1,
BPUVI12,0989PLDD-PHOTO,3,1,
BPUVI12,0989PLDD-PHOTO,5,1,
BPUVI12,0989PP-PHOTO,1,2,
BPUVI12,0989PP-PHOTO,3,1,
BPUVI12,1584NP-PHOTO,6,1,pilot
BPUVI12,1584PLDD-PHOTO,1,1,
BPUVI12,1584PLDD-PHOTO,3,1,
BPUVI12,4582VIA5-PHOTO,4,1.125,
BPUVI12,5669VIA5-PHOTO,2,2,
BPUVI12,5669VIA5-PHOTO,4,1,
BPUVI12,5669VIA5-PHOTO,5,2,
BPUVI12,5697VIA2-PHOTO,1,1,
BPUVI12,5958TV1-PHOTO,4,1,
BPUVI12,6136M2-PHOTO,5,0.125,pilot
BPUVI12,6518M3-PHOTO,4,1,
BPUVI12,6518M3-PHOTO,6,1,
BPUVI12,6518VIA2-PHOTO,5,1,
BPUVI12,6518VIA5-PHOTO,1,3,
BPUVI12,6518VIA5-PHOTO,2,3,
BPUVI12,6518VIA5-PHOTO,3,1,
BPUVI12,6518VIA5-PHOTO,4,1,
BPUVI12,6518VIA5-PHOTO,5,1,
BPUVI12,7017M4-PHOTO,5,1,
BPUVI12,7017VIA3-PHOTO,1,1,
BPUVI12,7017VIA3-PHOTO,6,1,
BPUVI12,7435VIA1-PHOTO,3,1,
BPUVI12,7531NLDD2-PHOTO,4,1,
BPUVI12,,,38,2

BPUVI13,0773PP-PHOTO,1,2,
BPUVI13,0773PP-PHOTO,2,1,
BPUVI13,0989NP-PHOTO,1,1,
BPUVI13,0989NP-PHOTO,2,1,
BPUVI13,0989NP-PHOTO,4,1,
BPUVI13,0989NP-PHOTO,5,1,
BPUVI13,0989PP-PHOTO,2,1,
BPUVI13,4703NLDD2-PHOTO,4,1,
BPUVI13,4703NP-PHOTO2,3,2,
BPUVI13,4703NP-PHOTO2,4,1,
BPUVI13,4703NP-PHOTO2,5,1,
BPUVI13,4703NP-PHOTO2,6,2,
BPUVI13,5334NLDD2-PHOTO,3,2,
BPUVI13,5974M3-PHOTO,4,0.125,pilot
BPUVI13,5974M3-PHOTO,5,0.125,
BPUVI13,6219CG-PHOTO,1,1,
BPUVI13,6219CG-PHOTO,4,0.125,
BPUVI13,6518CG-PHOTO,3,0.5,
BPUVI13,7226NLDD2-PHOTO,2,1,pilot
BPUVI13,7226NLDD2-PHOTO,3,1,
BPUVI13,7226NP-PHOTO2,1,1,
BPUVI13,7226NP-PHOTO2,3,1,
BPUVI13,7226NP-PHOTO2,5,2,
BPUVI13,7226NP-PHOTO2,6,1,
BPUVI13,7531CG-PHOTO,3,1,
BPUVI13,7531CG-PHOTO,4,2,
BPUVI13,7622NLDD2-PHOTO,3,1,
BPUVI13,7622NLDD-PHOTO,5,3,
BPUVI13,7622NP-PHOTO2,2,2,
BPUVI13,7622NP-PHOTO2,3,2,
BPUVI13,7622NP-PHOTO2,4,1,
BPUVI13,7622NP-PHOTO2,5,1,
BPUVI13,7622NP-PHOTO2,6,2,
BPUVI13,7622PP-PHOTO2,3,1,
BPUVI13,7622PP-PHOTO2,6,0.125,
BPUVI13,8207NP-PHOTO,6,1,pilot
BPUVI13,,,43,3

BPUVI15,5669VIA4-PHOTO,2,1,
BPUVI15,5958TV1-PHOTO,2,1,
BPUVI15,6200VIA5-PHOTO,2,3,
BPUVI15,6200VIA5-PHOTO,5,2,
BPUVI15,6445M2MIM-PHOTO,5,2,
BPUVI15,6445M4-PHOTO,1,2,
BPUVI15,6445TV1-PHOTO,3,1,
BPUVI15,6445TV1-PHOTO,5,1,
BPUVI15,6445VIA2-PHOTO,6,2.125,
BPUVI15,7492M2-PHOTO,1,2,
BPUVI15,7492M2-PHOTO,5,1,
BPUVI15,8042M1-PHOTO,2,1,
BPUVI15,8042M1-PHOTO,3,7,
BPUVI15,8042VIA1-PHOTO,1,4,
BPUVI15,8042VIA1-PHOTO,2,1,
BPUVI15,8042VIA1-PHOTO,3,0.125,
BPUVI15,8042VIA1-PHOTO,4,4,
BPUVI15,8042VIA1-PHOTO,5,1,
BPUVI15,8042VIA1-PHOTO,6,2,
BPUVI15,8995NW-PHOTO1,3,1.625,pilot
BPUVI15,8995NW-PHOTO1,4,0.75,
BPUVI15,8995PBODY-PH,3,0.375,pilot
BPUVI15,9007P1-PHOTO,4,0.375,pilot
BPUVI15,,,41.375,3

BPUVI16,4087VIA1-PHOTO,5,3,
BPUVI16,4087VIA1-PHOTO,6,3,
BPUVI16,5669M5-PHOTO,1,1,
BPUVI16,5669M5-PHOTO,2,1,
BPUVI16,5669M5-PHOTO,6,3,
BPUVI16,5958M3-PHOTO,4,1,
BPUVI16,6200M2-PHOTO,5,0.625,
BPUVI16,6200VIA1-PHOTO,1,1,
BPUVI16,6200VIA5-PHOTO,3,3,
BPUVI16,7344M1-PHOTO,2,4,
BPUVI16,7344M1-PHOTO,4,4,
BPUVI16,7344M1-PHOTO,6,6,
BPUVI16,7344M2MIM-PHOTO,2,5,
BPUVI16,7344M2-PHOTO,1,1,
BPUVI16,7344M3-PHOTO,4,2,
BPUVI16,7344VIA2-PHOTO,1,2,
BPUVI16,7344VIA2-PHOTO,3,3,
BPUVI16,7435M2-PHOTO,3,1.125,
BPUVI16,7435VIA2-PHOTO,4,1,
BPUVI16,7492VIA2-PHOTO,3,1,
BPUVI16,,,46.75,0

BPUVI51,3637M2-PHOTO,3,1,
BPUVI51,3637M3-PHOTO,1,1,pilot
BPUVI51,4785M3-PHOTO,5,1,pilot
BPUVI51,5697M1-PHOTO,2,1,
BPUVI51,5697M1-PHOTO,4,1,
BPUVI51,5697M1-PHOTO,5,1,
BPUVI51,5697M1-PHOTO,6,1,
BPUVI51,6634M1-PHOTO,6,1,pilot
BPUVI51,7017TV1-PHOTO,4,1,
BPUVI51,7017TV1-PHOTO,5,1.125,
BPUVI51,7344M2MIM-PHOTO,3,6,
BPUVI51,7344M2-PHOTO,3,5,
BPUVI51,7344M2-PHOTO,4,2,
BPUVI51,7344VIA2-PHOTO,5,4,
BPUVI51,7344VIA2-PHOTO,6,2,
BPUVI51,7470M1-PHOTO,2,1,
BPUVI51,7470M3MIM-PHOTO,4,1,
BPUVI51,7492M2MIM-PHOTO,3,1.125,
BPUVI51,7492M2-PHOTO,6,1,
BPUVI51,7492M3-PHOTO,1,1.125,
BPUVI51,7492M3-PHOTO,4,0.125,
BPUVI51,7492M3-PHOTO,6,1,
BPUVI51,7492M4-PHOTO,1,3,
BPUVI51,7492M4-PHOTO,2,3,
BPUVI51,7492M4-PHOTO,6,1,
BPUVI51,7850M2-PHOTO,5,0.125,pilot
BPUVI51,8389M4MIM-PHOTO,3,0.125,
BPUVI51,8389M4MIM-PHOTO,4,0.125,
BPUVI51,8797M3-PHOTO,4,0.25,pilot
BPUVI51,8797VIA1-PHOTO,3,0.125,pilot
BPUVI51,8875M2-PHOTO,1,0.125,
BPUVI51,,,43.375,6

BPUVI52,2344M1-PHOTO,1,0.75,
BPUVI52,2344VIA1-PHOTO,1,1,
BPUVI52,5697M1-PHOTO,1,3,
BPUVI52,6479M4-PHOTO,2,1,
BPUVI52,6479M4-PHOTO,3,1,
BPUVI52,6479VIA1-PHOTO,3,0.125,
BPUVI52,7492TV1-PHOTO,2,5.25,
BPUVI52,7492TV1-PHOTO,3,8,
BPUVI52,7492TV1-PHOTO,4,7,
BPUVI52,7492TV1-PHOTO,5,7.125,
BPUVI52,7492TV1-PHOTO,6,7.875,
BPUVI52,8042M2MIM-PHOTO,1,3,
BPUVI52,8080VIA2-PHOTO,1,0.125,
BPUVI52,,,45.25,0

BPUVI57,0021P1-PHOTO,1,1,
BPUVI57,4256M3-PHOTO,1,1.125,
BPUVI57,6427M1-PHOTO,3,3.125,
BPUVI57,6427M1-PHOTO,4,1,
BPUVI57,6427VIAT-PHOTO,1,1,
BPUVI57,6445P1-PHOTO,1,6.125,
BPUVI57,6445P1-PHOTO,3,5,
