EQP_TYPE,RECIPE_PREV,RECIPE_ID,TIME
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,2.965
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,2.965
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,Ymo2NGZ2M3Q3K0VOdm4vRmFZaUNacXg5YnZ0ZGxmOExNNkNxN0QwTDZXWT0=,7.31
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,Ymo2NGZ2M3Q3K0VOdm4vRmFZaUNacXg5YnZ0ZGxmOExNNkNxN0QwTDZXWT0=,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M1EvOWkwcTF6bm05WHJiektnNlhHRkkxdnRJbVRlb2NYaTR4L2gyVXFYZz0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,WjFZcTllL2tGbHhDNlhLTGxIOE1GcE5kTXpPVEdidGl1b3VGRnlicUwvaz0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,WjFZcTllL2tGbHhDNlhLTGxIOE1GcE5kTXpPVEdidGl1b3VGRnlicUwvaz0=,aUVWYUpBZE10Nzg3aDdXTFFoNDlOQ0hwanZKRWxpRk8wOVYyME1FY01PND0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,aUVWYUpBZE10Nzg3aDdXTFFoNDlOQ0hwanZKRWxpRk8wOVYyME1FY01PND0=,M0RtRFB3ZUJzZFVKeVNSK2g4UXBreHpBZUphVXQ0ZFkrN2k3azdzWG5uZz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M0RtRFB3ZUJzZFVKeVNSK2g4UXBreHpBZUphVXQ0ZFkrN2k3azdzWG5uZz0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,c3pyT2N5OVM5c0FkSE9VdGthWHBKaG1sOWxTWHRwK0dnSkRvOGppZDNyRT0=,2.965
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,cVR5S3JrRTBpQWpJUFppSlZTaXJkbHBjUHhUS3hFWmgyeWdnemZ1eGhhbz0=,5.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,cVR5S3JrRTBpQWpJUFppSlZTaXJkbHBjUHhUS3hFWmgyeWdnemZ1eGhhbz0=,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,5.95
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,5.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,NEQ5Z2JrUkhWb0tyUkRVUWttYXdDQS9UcG95aG44Rmx5SVE4enhOSlJ5VT0=,Ymo2NGZ2M3Q3K0VOdm4vRmFZaUNacXg5YnZ0ZGxmOExNNkNxN0QwTDZXWT0=,7.75
